video_path,ground_truth_label,Score_glm-4.6,Score_Moonshot-Kimi-K2-Instruct,Score_Qwen3-Max,Mean_Score,Std_Dev,Stability_Score,Model,FPS,Is_Dynamic,Score_qwen3-max
videos/session_0001_sit.mp4,sit,0.3,0.8,0.6,0.5666666666666668,0.2516611478423583,0.7483388521576417,Qwen3-VL-30B,3fps,False,
videos/session_0002_bow.mp4,bow,1.0,1.0,0.9,0.9666666666666667,0.05773502691896257,0.9422649730810374,Qwen3-VL-30B,3fps,False,
videos/session_0003_sleep.mp4,sleep,0.9,0.9,0.9,0.9,0.0,1.0,Qwen3-VL-30B,3fps,False,
videos/session_0004_dance.mp4,dance,0.2,0.0,0.0,0.06666666666666667,0.11547005383792518,0.8845299461620748,Qwen3-VL-30B,3fps,True,
videos/session_0005_jog.mp4,jog,0.5,0.7,0.6,0.6,0.09999999999999998,0.9,Qwen3-VL-30B,3fps,True,
videos/session_0006_falldown.mp4,falldown,1.0,1.0,1.0,1.0,0.0,1.0,Qwen3-VL-30B,3fps,True,
videos/session_0007_jump.mp4,jump,0.2,0.1,0.1,0.13333333333333333,0.05773502691896258,0.9422649730810374,Qwen3-VL-30B,3fps,False,
videos/session_0008_jumpingjack.mp4,jumpingjack,1.0,1.0,1.0,1.0,0.0,1.0,Qwen3-VL-30B,3fps,True,
videos/session_0009_squat.mp4,squat,1.0,0.9,0.9,0.9333333333333332,0.05773502691896257,0.9422649730810374,Qwen3-VL-30B,3fps,False,
videos/session_0010_lunge.mp4,lunge,0.2,0.2,0.2,0.20000000000000004,3.3993498887762956e-17,1.0,Qwen3-VL-30B,3fps,False,
videos/session_0011_turn.mp4,turn,1.0,1.0,1.0,1.0,0.0,1.0,Qwen3-VL-30B,3fps,False,
videos/session_0012_pushup.mp4,pushup,0.3,0.7,0.6,0.5333333333333333,0.20816659994661327,0.7918334000533868,Qwen3-VL-30B,3fps,False,
videos/session_0013_legraise.mp4,legraise,0.1,0.0,0.0,0.03333333333333333,0.05773502691896259,0.9422649730810374,Qwen3-VL-30B,3fps,False,
videos/session_0014_airdrum.mp4,airdrum,0.2,0.75,0.2,0.3833333333333333,0.31754264805429416,0.6824573519457058,Qwen3-VL-30B,3fps,False,
